ID,String
30400,Leech Leg Pads
30401,Justicar Powered Leg Pads
30402,PreMet Tremor Leg Pads
30403,Aramid Altered Leg Pads
30404,Infensus Essentials Leg Pads
30405,Jack-o'-lantern Leg Pads
30406,Skeleton Leg Pads
30407,Backer Leg Pads
30410,Envirotech Gloves (Male)
30411,Infusion Gloves (Male)
30412,Infostyle Gloves (Male)
30413,Locans Defense Gloves (Male)
30414,Locans Ethereal Gloves (Male)
30415,Locans Patrol Gloves (Male)
30416,Locans Pressured Gloves (Male)
30417,Pythica Special Operations Gloves (Male)
30418,Pythica Mobile Infantry Gloves (Male)
30419,Pythica S1 Gloves (Male)
30420,Pythica Sustained Battle Gloves (Male)
30421,NanoTech Trauma Gloves (Male)
30422,NanoTech Scout Gloves (Male)
30423,NanoTech Voltaic Gloves (Male)
30424,NanoTech Cognizant Gloves (Male)
30425,Hypobaric Gloves (Male)
30426,Metabolic Gloves (Male)
30427,Venom Gloves (Male)
30428,Detox Combat Gloves (Male)
30429,Delta Powered Gloves (Male)
30430,Havoc Powered Gloves (Male)
30431,Firstborn Powered Gloves (Male)
30432,Legionnaire Powered Gloves (Male)
30433,PreMet Buffer Gloves (Male)
30434,PreMet Contact Gloves (Male)
30435,PreMet Collision Gloves (Male)
30436,PreMet Impact Gloves (Male)
30437,Dilatant 46b Gloves (Male)
30438,Aramid Modified Gloves (Male)
30439,Dilatant 50b Gloves (Male)
30440,Aramid Basic Gloves (Male)
30441,Infensus Minimalist Gloves (Male)
30442,Infensus Shock Gloves (Male)
30443,Infensus X1 Assault Gloves (Male)
30444,Infensus Heavy Gloves (Male)
30445,Hockey Gloves (Female)
30446,Egyptian Knight (Female)
30447,Crystal Gloves (Female)
30448,Locans Defense Gloves(Female)
30449,Locans Ethereal Gloves (Female)
